Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,usage_constant_2,usage_constant_2_unit,lifespan,lifespan_units,CO2_emissions_factor,CO2_emissions_factor_unit,location_name
0,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,SG
1,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,ID
2,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,MY
3,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,BN
4,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,KH
5,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,MM
6,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,PH
7,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,TH
8,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,VN
9,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,LA
10,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,AU
11,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,SA
12,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,IN
13,0.26,G$/GWp,3.71E-05,G$/GWh,0,G$/(GWh^2),262800,h,2.02E-04,MtCO2e/GWh,AE
