,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
PHL,high,0,2030.8372949304137,1346.9504734412506,1183.435434026582,1020.155968143617
PHL,high,1,2289.628249752681,1518.5932731821576,1334.2414029281385,1150.1551254977205
PHL,high,2,2653.9567405521734,1760.2337208908934,1546.547552078643,1333.1692375504126
PHL,high,3,2842.068226205311,1884.998444925565,1656.1662784152652,1427.6637867907184
PHL,high,4,3036.178805261132,2013.7420606808014,1769.2808730468287,1525.1718767784791
PHL,high,5,3286.8372854469635,2179.991006078487,1915.347782508292,1651.0858262440097
PHL,high,6,3512.7634165522636,2329.836249720331,2047.0023417821328,1764.5759081824167
PHL,high,7,3689.1328064140407,2446.813042380266,2149.778564161845,1853.1720188187599
PHL,high,8,4239.292353575643,2811.7057220479724,2470.374558780696,2129.5351459239114
PHL,high,9,4951.458298516175,3284.048956586297,2885.376989678763,2487.279383167149
PHL,low,0,1107.0759059089105,834.9517557158665,753.1130825817569,669.4166307617586
PHL,low,1,1248.1513290690154,941.3502164055819,849.0827864163952,754.7208397607794
PHL,low,2,1446.7587187434565,1091.1390319894479,984.1898939445751,874.8129571400563
PHL,low,3,1549.304448975033,1168.4785685475194,1053.948914611486,936.8193804259499
PHL,low,4,1655.120481453234,1248.2845526074923,1125.9326313383767,1000.8032604499011
PHL,low,5,1791.7626264026642,1351.3394544633497,1218.8864987694174,1083.4267949376067
PHL,low,6,1914.922358048887,1444.2259797891,1302.668653773927,1157.8979058749012
PHL,low,7,2011.0670873902425,1516.73790976363,1368.0732507855034,1216.0338299220743
PHL,low,8,2310.977070621802,1742.9286937192198,1572.0937075245542,1397.3806819629228
PHL,low,9,2699.202045917205,2035.7262543985667,1836.1924078208835,1632.1290434370364
PHL,medium,0,1388.3378852508029,1122.45872831679,986.1961954713861,850.1299736927149
PHL,medium,1,1565.2547105612086,1265.4943948250507,1111.8678362796143,958.462604852036
PHL,medium,2,1814.319984138466,1466.8614346636498,1288.7896273188799,1110.974364938058
PHL,medium,3,1942.9183227811902,1570.8320380658417,1380.138565975759,1189.719822660772
PHL,medium,4,2075.617811562239,1678.1183845733026,1474.4007282096027,1270.9765643409241
PHL,medium,5,2246.975046909463,1816.6591724588784,1596.1231528168694,1375.9048555908798
PHL,medium,6,2401.424548041367,1941.5302088771373,1705.8352855953228,1470.479923900703
PHL,medium,7,2521.995657482062,2039.010869465162,1791.48213761684,1544.3100161178863
PHL,medium,8,2898.100303660559,2343.0881026441434,2058.6454665880105,1774.6126221036063
PHL,medium,9,3384.9571111551822,2736.707464918618,2404.4808258261796,2072.732819890089
