,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
PHL,high,0,0.046777217297704884,0.031024934957966134,0.0272586172183629,0.02349772555317442
PHL,high,1,0.06314105704139417,0.0418782326323339,0.03679436281342581,0.03171781724537994
PHL,high,2,0.0772273088898925,0.05122092278467416,0.04500288331467579,0.03879380207582271
PHL,high,3,0.0921356812991661,0.06110888344259856,0.053690480404235096,0.046282764941829764
PHL,high,4,0.10728825139424393,0.0711588079315629,0.06252037948667506,0.05389439628905905
PHL,high,5,0.12465386047196002,0.08267652795139076,0.07263988889657838,0.06261770946895447
PHL,high,6,0.14772145038732953,0.09797608012882372,0.08608212937128186,0.07420531404053116
PHL,high,7,0.17536931504319764,0.1163134941997773,0.10219344601423243,0.08809374035884421
PHL,high,8,0.22020522004473703,0.14605085603559015,0.1283207969487189,0.11061628127762849
PHL,high,9,0.3465098361257581,0.22982224572440685,0.2019226352272337,0.1740632192577639
PHL,low,0,0.02549979279237703,0.01923183103231276,0.017346802918000736,0.01541898372559089
PHL,low,1,0.03442025764380467,0.025959606200887123,0.023415148138473407,0.02081292960933892
PHL,low,2,0.04209913475767579,0.031750981384767396,0.02863887560208188,0.0254561234663881
PHL,low,3,0.050226176708218453,0.03788036050788225,0.03416747719387715,0.03037030957734626
PHL,low,4,0.058486338813145106,0.044110138263133654,0.03978663674045007,0.0353649895774396
PHL,low,5,0.06795290092984779,0.05124977757580055,0.04622647680842635,0.041089144608940906
PHL,low,6,0.08052779950318081,0.060733710507330556,0.05478083209442969,0.04869282037336328
PHL,low,7,0.09559955581115885,0.07210076250792062,0.06503373055644353,0.05780627345594076
PHL,low,8,0.12004107570580322,0.0905344487976081,0.08166061972691305,0.07258535031169064
PHL,low,9,0.18889385756943702,0.1424629125968116,0.12849926061585443,0.11421862677244757
PHL,medium,0,0.03197823040927154,0.02585411247532062,0.022715514358984522,0.019581437966497937
PHL,medium,1,0.04316501465882985,0.03489852720758055,0.030661969025157235,0.026431514378600432
PHL,medium,2,0.052794775325169255,0.04268410233764761,0.037502402779315144,0.03232816840563112
PHL,medium,3,0.06298656088814722,0.05092406955588254,0.044742067023913284,0.038568970795729796
PHL,medium,4,0.07334528690447203,0.05929900663337212,0.05210031626263263,0.04491199692020843
PHL,medium,5,0.08521690903945967,0.06889710665373724,0.06053324077472707,0.05218142457217061
PHL,medium,6,0.10098656674709003,0.08164673347336773,0.07173510784208338,0.0618377617178727
PHL,medium,7,0.11988742997422085,0.0969279118719462,0.08516120505065808,0.07341145031972908
PHL,medium,8,0.15053852432261905,0.12170904674504317,0.1069339975059832,0.0921802344240059
PHL,medium,9,0.23688393664349477,0.19151853818033437,0.1682688627660234,0.1450526827556889
