Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,17,17,1023
1,RE_PV_Rooftop_Lim,17,17,17
2,RE_PV_Openfield_Lim,17,17,17
3,RE_WIND_Onshore_Lim,17,17,17
4,RE_WIND_Offshore_Lim,17,17,17
5,PP_CO2,17,17,17
6,BESS,17,17,17
7,EL_to_HTH,17,17,17
8,EL_to_NH3,17,17,17
9,NH3_Storage,17,17,17
10,NH3_to_EL,17,17,17
11,NH3_to_HTH,17,17,17
12,FF_to_HTH,17,17,17
13,EL_Demand,17,17,17
14,HTH_Demand,17,17,17
15,RE_PV_Rooftop_Lim,18,18,18
16,RE_PV_Openfield_Lim,18,18,18
17,RE_WIND_Onshore_Lim,18,18,18
18,RE_WIND_Offshore_Lim,18,18,18
19,PP_CO2,18,18,18
20,BESS,18,18,18
21,EL_to_HTH,18,18,18
22,EL_to_NH3,18,18,18
23,NH3_Storage,18,18,18
24,NH3_to_EL,18,18,18
25,NH3_to_HTH,18,18,18
26,FF_to_HTH,18,18,18
27,EL_Demand,18,18,18
28,HTH_Demand,18,18,18
29,RE_PV_Rooftop_Lim,22,22,22
30,RE_PV_Openfield_Lim,22,22,22
31,RE_WIND_Onshore_Lim,22,22,22
32,RE_WIND_Offshore_Lim,22,22,22
33,PP_CO2,22,22,22
34,BESS,22,22,22
35,EL_to_HTH,22,22,22
36,EL_to_NH3,22,22,22
37,NH3_Storage,22,22,22
38,NH3_to_EL,22,22,22
39,NH3_to_HTH,22,22,22
40,FF_to_HTH,22,22,22
41,EL_Demand,22,22,22
42,HTH_Demand,22,22,22
43,NH3_Transport,17,18,0
44,EL_Transport,17,18,0
45,NH3_Transport,17,22,0
46,EL_Transport,17,22,0
47,NH3_Transport,18,22,0
48,EL_Transport,18,22,0
